更新时间: 2026-04-10 13:51:03（北京时间）

更新时间,#genre#
2026-04-10 13:51:03,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
风云足球,http://183.164.55.112:5000/rtp/238.1.79.57:4592$安徽电信
风云足球,http://106.116.240.74:9999/rtp/239.254.201.222:7251$河北省电信
风云剧场,http://183.164.55.112:5000/rtp/238.1.79.62:4632$安徽电信
风云剧场,http://106.116.240.74:9999/rtp/239.254.201.219:7257$河北省电信
怀旧剧场,http://183.164.55.112:5000/rtp/238.1.79.61:4624$安徽电信
怀旧剧场,http://106.116.240.74:9999/rtp/239.254.201.220:7256$河北省电信
第一剧场,http://183.164.55.112:5000/rtp/238.1.79.63:4640$安徽电信
第一剧场,http://106.116.240.74:9999/rtp/239.254.201.218:7258$河北省电信
女性时尚,http://183.164.55.112:5000/rtp/238.1.79.55:4576$安徽电信
女性时尚,http://106.116.240.74:9999/rtp/239.254.201.228:7255$河北省电信
世界地理,http://183.164.55.112:5000/rtp/238.1.79.60:4616$安徽电信
世界地理,http://106.116.240.74:9999/rtp/239.254.201.226:7254$河北省电信
央视台球,http://183.164.55.112:5000/rtp/238.1.79.59:4608$安徽电信
央视台球,http://106.116.240.74:9999/rtp/239.254.201.171:7176$河北省电信
高尔夫网球,http://183.164.55.112:5000/rtp/238.1.79.58:4600$安徽电信
高尔夫网球,http://106.116.240.74:9999/rtp/239.254.201.223:7252$河北省电信
央视文化精品,http://183.164.55.112:5000/rtp/238.1.79.54:4568$安徽电信
央视文化精品,http://106.116.240.74:9999/rtp/239.254.201.229:7260$河北省电信
电视指南,http://183.164.55.112:5000/rtp/238.1.79.53:4560$安徽电信
电视指南,http://106.116.240.74:9999/rtp/239.254.201.217:7250$河北省电信
中学生,http://106.116.240.74:9999/rtp/239.254.200.113:6243$河北省电信
国学频道,http://171.8.84.159:8800/rtp/239.16.20.232:12320$河南电信

卫视频道,#genre#
湖南卫视,http://183.164.55.112:5000/rtp/238.1.78.160:7152$安徽电信
湖南卫视,http://111.193.235.246:8888/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://182.135.34.97:888/rtp/239.94.0.116:5140$四川电信
湖南卫视,http://182.135.34.97:888/rtp/239.94.0.61:5140$四川电信
湖南卫视,http://106.116.240.74:9999/rtp/239.254.200.48:8012$河北省电信
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
浙江卫视,http://183.164.55.112:5000/rtp/238.1.78.164:7184$安徽电信
浙江卫视,http://111.193.235.246:8888/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://182.135.34.97:888/rtp/239.94.0.118:5140$四川电信
浙江卫视,http://182.135.34.97:888/rtp/239.94.0.63:5140$四川电信
浙江卫视,http://106.116.240.74:9999/rtp/239.254.200.53:8036$河北省电信
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710$河南电信
江苏卫视,http://183.164.55.112:5000/rtp/238.1.78.165:7192$安徽电信
江苏卫视,http://111.193.235.246:8888/rtp/239.3.1.135:8028$北京市联通
江苏卫视,http://182.135.34.97:888/rtp/239.94.0.62:5140$四川电信
江苏卫视,http://106.116.240.74:9999/rtp/239.254.200.51:8028$河北省电信
江苏卫视,http://171.8.84.159:8800/rtp/239.16.20.74:10740$河南电信
东方卫视,http://183.164.55.112:5000/rtp/238.1.78.163:7176$安徽电信
东方卫视,http://111.193.235.246:8888/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://182.135.34.97:888/rtp/239.94.0.119:5140$四川电信
东方卫视,http://182.135.34.97:888/rtp/239.94.0.64:5140$四川电信
东方卫视,http://106.116.240.74:9999/rtp/239.254.200.52:8032$河北省电信
东方卫视,http://171.8.84.159:8800/rtp/239.16.20.73:10730$河南电信
深圳卫视,http://183.164.55.112:5000/rtp/238.1.78.156:7120$安徽电信
深圳卫视,http://111.193.235.246:8888/rtp/239.3.1.134:8020$北京市联通
深圳卫视,http://182.135.34.97:888/rtp/239.94.0.113:5140$四川电信
深圳卫视,http://182.135.34.97:888/rtp/239.94.0.66:5140$四川电信
深圳卫视,http://106.116.240.74:9999/rtp/239.254.200.50:8020$河北省电信
深圳卫视,http://171.8.84.159:8800/rtp/239.16.20.77:10770$河南电信
北京卫视,http://183.164.55.112:5000/rtp/238.1.78.162:7168$安徽电信
北京卫视,http://111.193.235.246:8888/rtp/239.3.1.241:8000$北京市联通
北京卫视,http://182.135.34.97:888/rtp/239.94.0.111:5140$四川电信
北京卫视,http://182.135.34.97:888/rtp/239.94.0.112:5140$四川电信
北京卫视,http://182.135.34.97:888/rtp/239.94.0.65:5140$四川电信
北京卫视,http://106.116.240.74:9999/rtp/239.254.200.47:8024$河北省电信
北京卫视,http://171.8.84.159:8800/rtp/239.16.20.76:10760$河南电信
广东卫视,http://183.164.55.112:5000/rtp/238.1.78.161:7160$安徽电信
广东卫视,http://111.193.235.246:8888/rtp/239.3.1.142:8048$北京市联通
广东卫视,http://182.135.34.97:888/rtp/239.94.0.114:5140$四川电信
广东卫视,http://182.135.34.97:888/rtp/239.94.0.67:5140$四川电信
广东卫视,http://106.116.240.74:9999/rtp/239.254.200.56:8048$河北省电信
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
广西卫视,http://183.164.55.112:5000/rtp/238.1.78.70:6432$安徽电信
广西卫视,http://111.193.235.246:8888/rtp/239.3.1.39:8300$北京市联通
广西卫视,http://182.135.34.97:888/rtp/239.94.0.89:5140$四川电信
广西卫视,http://106.116.240.74:9999/rtp/239.254.200.80:8300$河北省电信
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
东南卫视,http://183.164.55.112:5000/rtp/238.1.78.22:6104$安徽电信
东南卫视,http://111.193.235.246:8888/rtp/239.3.1.156:8148$北京市联通
东南卫视,http://182.135.34.97:888/rtp/239.94.0.80:5140$四川电信
东南卫视,http://106.116.240.74:9999/rtp/239.254.201.13:6291$河北省电信
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
海南卫视,http://183.164.55.112:5000/rtp/238.1.79.49:4504$安徽电信
海南卫视,http://111.193.235.246:8888/rtp/239.3.1.45:8304$北京市联通
海南卫视,http://106.116.240.74:9999/rtp/239.254.201.125:6288$河北省电信
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
河北卫视,http://183.164.55.112:5000/rtp/238.1.78.245:7832$安徽电信
河北卫视,http://111.193.235.246:8888/rtp/239.3.1.148:8072$北京市联通
河北卫视,http://182.135.34.97:888/rtp/239.94.0.86:5140$四川电信
河北卫视,http://106.116.240.74:9999/rtp/239.254.200.174:6000$河北省电信
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
河南卫视,http://183.164.55.112:5000/rtp/238.1.79.65:4632$安徽电信
河南卫视,http://111.193.235.246:8888/rtp/239.3.1.50:8184$北京市联通
河南卫视,http://182.135.34.97:888/rtp/239.94.0.88:5140$四川电信
河南卫视,http://106.116.240.74:9999/rtp/239.254.201.16:7174$河北省电信
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
湖北卫视,http://183.164.55.112:5000/rtp/238.1.78.168:7216$安徽电信
湖北卫视,http://111.193.235.246:8888/rtp/239.3.1.138:8044$北京市联通
湖北卫视,http://182.135.34.97:888/rtp/239.94.0.84:5140$四川电信
湖北卫视,http://106.116.240.74:9999/rtp/239.254.200.164:6000$河北省电信
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
江西卫视,http://183.164.55.112:5000/rtp/238.1.78.26:6136$安徽电信
江西卫视,http://111.193.235.246:8888/rtp/239.3.1.123:8164$北京市联通
江西卫视,http://182.135.34.97:888/rtp/239.94.0.79:5140$四川电信
江西卫视,http://106.116.240.74:9999/rtp/239.254.201.12:6290$河北省电信
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
四川卫视,http://183.164.55.112:5000/rtp/238.1.78.30:6168$安徽电信
四川卫视,http://111.193.235.246:8888/rtp/239.3.1.29:8288$北京市联通
四川卫视,http://182.135.34.97:888/rtp/239.94.0.115:5140$四川电信
四川卫视,http://182.135.34.97:888/rtp/239.94.0.60:5140$四川电信
